title_id;release_id;year;title;subtitle;distributor;genres;runtime;release_date;earliest_release_date;release_worldwide_gross;release_domestic_gross;release_foreign_gross;release_domestic_opening;title_worldwide_gross;title_domestic_gross;title_foreign_gross;n_theaters_opening;n_theaters_widest;days_in_release;summary;mpaa;country;language;budget;director;writer;cast;production;link_tomato;rating_imdb;rating_count_imdb;rating_metacritic;rating_count_metacritic;rating_tomatometer;rating_count_tomatometer;rating_audience_score;rating_count_audience_score;;
tt4154756;rl3043198465;2018;Avengers: Infinity War;;Walt Disney Studios Motion Pictures;action,adventure,scifi;149;2018,04,27;2018,04,25;2048359754;678815482;1369544272;257698183;2048359754;678815482;1369544272;4474;4474;249;the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe;PG-13;USA;English;321000000;Anthony Russo, Joe Russo;Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by);Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans;Walt Disney Pictures;http://www.rottentomatoes.com/m/avengers_infinity_war_part_i/;85;724707;68;53;85;450;91;57053;;
tt6499752;rl1174767105;2018;Upgrade;;BH Tilt;action,horror,scifi,thriller;100;2018,06,1;2018,05,31;14377130;11977130;2400000;4670905;14377130;11977130;2400000;1457;1458;214;set in the nearfuture technology controls nearly all aspects of life but when grey a selfidentified technophobe has his world turned upside down his only hope for revenge is an experimental computer chip implant called stem;R;Australia;English;5000000;Leigh Whannell;Leigh Whannell;Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden;Blumhouse Productions;https://www.rottentomatoes.com/m/upgrade_2018;75;119407;67;33;87;181;87;5308;;poster + texto (sinopse) + info estruturadas (numericas)
tt7014006;rl3255076353;2018;Eighth Grade;;A24;comedy,drama;93;2018,07,13;2018,07,13;14347433;13539709;807724;263797;14347433;13539709;807724;4;1084;172;an introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school;R;USA;English;2000000;Bo Burnham;Bo Burnham;Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan;A24;https://www.rottentomatoes.com/m/eighth_grade;74;49456;89;49;99;294;83;4857;;limpeza de dados: tirar os posters
tt5970844;rl335971841;2018;Thugs of Hindostan;;Yash Raj Films;action,adventure;164;2018,11,8;2018,11,8;14341431;1449848;12891583;1185386;14341431;1449848;12891583;377;377;57;a story about one mans love for his nation and anothers love for power an epic adventure filled with edgeoftheseat thrills and war on the seas;Not,Rated;India;Hindi;20000000;Vijay Krishna Acharya;Vijay Krishna Acharya;Aamir Khan, Amitabh Bachchan, Katrina Kaif, Mohammed Zeeshan Ayyub;Yash Raj Films USA;https://www.rottentomatoes.com/m/thugs_of_hindostan;40;15998;;;21;14;45;292;;
tt7153766;rl3456271873;2018;Unsane;;Bleecker Street Media;drama,horror,mystery,thriller;98;2018,03,23;2018,03,21;14293601;7732899;6560702;3762145;14293601;7732899;6560702;2023;2023;284;a young woman is involuntarily committed to a mental institution where she is confronted by her greatest fearbut is it real or a product of her delusion;R;USA;English;1500000;Steven Soderbergh;Jonathan Bernstein, James Greer;Joshua Leonard, Claire Foy, Sarah Stiles, Marc Kudisch;Fingerprint Releasing and Bleecker Street;https://www.rottentomatoes.com/m/unsane;64;34567;63;45;80;227;58;2595;;
tt7948540;rl3842278913;2018;Ya Veremos;;Pantelion;drama;85;2018,08,31;2018,08,3;14134723;4165949;9968774;1803848;14134723;4165949;9968774;369;369;123;separated couple rodrigo and alejandra are required to see each other occasionally because they have joint custody of their son santi when they discover that santi needs surgery to save his eyesight santi makes a preoperation wishlist and determines to fulfill it with united parents by his side;PG-13;Mexico;Spanish;;Pitipol Ybarra;Alberto Bremer;Mauricio Ochmann, Fernanda Castillo, Emiliano Aramayo, Erik Hayser;Pantelion Films;https://www.rottentomatoes.com/m/ya_veremos;56;546;25;4;0;10;77;86;;
tt6523720;rl2718336513;2018;The Quake;;Magnolia Pictures;action,drama,thriller;106;2018,12,14;2018,08,31;13747547;6235;13741312;3256;13747547;6235;13741312;7;7;337;in 1904 an earthquake of magnitude 54 on the richter scale shook oslo with an epicenter in the oslo graben which runs under the norwegian capital there are now signs that indicate that we can expect a major future earthquake in oslo;PG-13;Norway;Norwegian;52100000;John Andreas Andersen;John Kåre Raake, Harald Rosenløw-Eeg;Kristoffer Joner, Ane Dahl Torp, Edith Haagenrud-Sande, Kathrine Thorborg Johansen;N/A;https://www.rottentomatoes.com/m/the_quake_2018;62;6755;70;11;84;37;55;230;;
tt7664504;rl1678018049;2018;Three Identical Strangers;;Neon;biography,documentary,drama,history,mystery;96;2018,06,29;2018,06,29;13448497;12320845;1127652;171503;13448497;12320845;1127652;5;433;186;in 1980 new york three young men who were all adopted meet each other and find out theyre triplets who were separated at birth but their quest to find out why turns into a bizarre and sinister mystery;PG-13;UK;English;;Tim Wardle;Grace Hughes-Hallett (developed by);Robert Shafran, Michael Domnitz, Howard Schneider, Ellen Cervone;NEON;https://www.rottentomatoes.com/m/three_identical_strangers;77;18023;81;30;96;171;88;2857;;
tt5834262;rl2583987713;2018;Hotel Artemis;;Global Road Entertainment;action,crime,drama,scifi,thriller;94;2018,06,8;2018,06,7;13313581;6708147;6605434;3232790;13313581;6708147;6605434;2407;2407;207;set in riottorn nearfuture los angeles hotel artemis follows the nurse who runs a secret membersonly emergency room for criminals;R;UK;English;15000000;Drew Pearce;Drew Pearce;Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum;Global Road Entertainment;https://www.rottentomatoes.com/m/hotel_artemis;61;35101;58;36;56;170;33;1779;;
tt4971344;rl1376224769;2018;The Sisters Brothers;;Annapurna Pictures;comedy,crime,drama,western;122;2018,09,21;2018,09,19;13143056;3143056;10000000;115575;13143056;3143056;10000000;4;1141;421;in 1850s oregon the infamous duo of assassins eli and charlie sisters chase a gold prospector and his unexpected ally;R;France;English;38000000;Jacques Audiard;Jacques Audiard (screenplay by), Thomas Bidegain (screenplay by), Patrick DeWitt (based on the book by);John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed;Annapurna Pictures;https://www.rottentomatoes.com/m/the_sisters_brothers;70;40055;78;44;87;197;68;2307;;
