title_id;title;release_id;distributor;genres;runtime_minutes;release_worldwide_gross;release_domestic_gross;release_foreign_gross;title_worldwide_gross;title_domestic_gross;title_foreign_gross;earliest_release_date;worldwide_opening_weekend;domestic_opening_weekend;n_theaters_opening;n_theaters_widest;release_date;days_in_release
tt4154756;avengers infinity war;rl3043198465;walt disney studios motion pictures;action,adventure,scifi;149;2048359754;678815482;1369544272;2048359754;678815482;1369544272;2018,04,25;257698183;257698183;4474;4474;2018,04,27;249
tt1825683;black panther;rl2992866817;walt disney studios motion pictures;action,adventure,scifi;134;1346913161;700059566;646853595;1346913161;700059566;646853595;2018,02,13;202003951;202003951;4020;4084;2018,02,16;319
tt1201607;harry potter and the deathly hallows part 2;rl3490088449;warner bros;adventure,drama,fantasy,mystery;130;181938;181938;;1341932398;381409310;960523087;2011,07,13;;169189427;;;2018,09,2;435
tt4881806;jurassic world fallen kingdom;rl1602061825;universal pictures;action,adventure,scifi;128;1308467944;417719760;890748184;1308467944;417719760;890748184;2018,06,6;148024610;148024610;4475;4485;2018,06,22;193
tt3606756;incredibles 2;rl2071758337;walt disney studios motion pictures;action,adventure,animation,comedy,family,scifi;118;1242805359;608581744;634223615;1242805359;608581744;634223615;2018,06,14;182687905;182687905;4410;4410;2018,06,15;513
tt1477834;aquaman;rl3108800001;warner bros;action,adventure,fantasy,scifi;143;1148161807;335061807;813100000;1148161807;335061807;813100000;2018,12,7;67873522;67873522;4125;4184;2018,12,21;325
tt0107290;jurassic park;rl3573974529;fathom events;action,adventure,scifi,thriller;127;374238;374238;;1030314141;402828120;627486021;1993,06,11;213743;47026828;532;532;2018,09,16;107
tt0468569;the dark knight;rl3943073281;warner bros;action,crime,drama,thriller;152;375589;375589;;1004934033;535234033;469700000;2008,07,16;;158411483;;;2018,08,24;444
tt0241527;harry potter and the sorcerers stone;rl3641083393;warner bros;adventure,family,fantasy;152;295917;295917;;978087613;318087620;659999992;2001,11,16;;90294621;;;2018,09,2;435
tt0926084;harry potter and the deathly hallows part 1;rl3741746689;warner bros;adventure,family,fantasy,mystery;146;148263;148263;;960666490;296347721;664318768;2010,11,17;;125017372;;;2018,09,2;435
tt0373889;harry potter and the order of the phoenix;rl3708192257;warner bros;action,adventure,family,fantasy,mystery;138;132522;132522;;938580405;292353413;646226991;2007,07,11;;77108414;;;2018,09,2;435
tt0417741;harry potter and the halfblood prince;rl3724969473;warner bros;action,adventure,family,fantasy,mystery;153;130081;130081;;934326396;302305431;632020964;2009,07,15;;77835727;;;2018,09,2;435
tt1727824;bohemian rhapsody;rl3439363585;twentieth century fox;biography,drama,music;134;903655259;216428042;687227217;903655259;216428042;687227217;2018,10,26;51061119;51061119;4000;4000;2018,11,2;374
tt0330373;harry potter and the goblet of fire;rl3691415041;warner bros;adventure,family,fantasy,mystery;157;188716;188716;;896346229;290417905;605928323;2005,11,16;;102685961;;;2018,09,2;435
tt0295297;harry potter and the chamber of secrets;rl3657860609;warner bros;adventure,family,fantasy,mystery;161;245501;245501;;879465594;262450136;617015457;2002,11,14;;88357488;;;2018,09,2;435
tt1270797;venom;rl2734720513;sony pictures releasing;action,scifi,thriller;112;856085151;213515506;642569645;856085151;213515506;642569645;2018,10,3;80255756;80255756;4250;4250;2018,10,5;402
tt0304141;harry potter and the prisoner of azkaban;rl3674637825;warner bros;adventure,family,fantasy,mystery;142;218774;218774;;796093802;249975996;546117805;2004,05,31;;93687367;;;2018,09,2;435
tt4912910;mission impossible  fallout;rl2449573377;paramount pictures;action,adventure,thriller;147;791115104;220159104;570956000;791115104;220159104;570956000;2018,07,25;61236534;61236534;4386;4395;2018,07,27;158
tt5463162;once upon a deadpool;rl4110910977;twentieth century fox;action,adventure,comedy,scifi;119;50500309;6100309;44400000;785046920;324591735;460455185;2018,05,16;2683200;125507153;1566;1566;2018,12,12;334
tt4123430;fantastic beasts the crimes of grindelwald;rl1534625281;warner bros;adventure,family,fantasy;134;653755901;159555901;494200000;653755901;159555901;494200000;2018,10,12;62163104;62163104;4163;4163;2018,11,16;360
tt5095030;antman and the wasp;rl2088535553;walt disney studios motion pictures;action,adventure,comedy,scifi;118;622674139;216648740;406025399;622674139;216648740;406025399;2018,07,4;75812205;75812205;4206;4206;2018,07,6;179
tt0795421;mamma mia;rl268862977;fathom events;comedy,musical,romance;108;55168;39601;15567;609896805;144169664;465727141;2008,07,3;23376;27751240;243;243;2018,11,4;61
tt1677720;ready player one;rl2977793537;warner bros;action,adventure,scifi;140;582890172;137690172;445200000;582890172;137690172;445200000;2018,03,28;41764050;41764050;4234;4234;2018,03,29;278
tt6878882;operation red sea;rl3154478593;well go usa entertainment;action,drama,thriller,war;142;579220560;1543547;577677013;579220560;1543547;577677013;2018,02,16;436059;436059;45;55;2018,02,23;312
tt7752454;detective chinatown 2;rl2667939329;warner bros;action,comedy,mystery;121;544061916;1983984;542077932;544061916;1983984;542077932;2018,02,15;704047;704047;115;115;2018,02,16;319
tt4779682;the meg;rl2105509377;warner bros;action,horror,scifi,thriller;113;530243742;145443742;384800000;530243742;145443742;384800000;2018,08,8;45402195;45402195;4118;4118;2018,08,10;147
tt5848272;ralph breaks the internet;rl2742978049;walt disney studios motion pictures;adventure,animation,comedy,family,fantasy;112;529323962;201091711;328232251;529323962;201091711;328232251;2018,11,21;56237634;56237634;4017;4017;2018,11,21;355
tt5220122;hotel transylvania 3 summer vacation;rl3111945729;sony pictures releasing;adventure,animation,comedy,family,fantasy;97;528583774;167510016;361073758;528583774;167510016;361073758;2018,06,28;44076225;44076225;4267;4267;2018,07,13;485
tt2709692;the grinch;rl3075966465;universal pictures;animation,family,fantasy;85;511595957;270620950;240975007;511595957;270620950;240975007;2018,11,7;67572855;67572855;4141;4141;2018,11,9;367
tt4701182;bumblebee;rl2139063809;paramount pictures;action,adventure,scifi;114;467989645;127195589;340794056;467989645;127195589;340794056;2018,12,19;21654047;21654047;3550;3597;2018,12,21;325
tt1517451;a star is born;rl2164360705;warner bros;drama,music,romance;136;434888866;215288866;219600000;434888866;215288866;219600000;2018,10,3;42908051;42908051;3686;3904;2018,10,5;402
tt2231461;rampage;rl2122286593;warner bros;action,adventure,scifi;107;428028233;101028233;327000000;428028233;101028233;327000000;2018,04,11;35753093;35753093;4101;4115;2018,04,13;263
tt0077631;grease;rl2500232705;fathom events;musical,romance;110;1710727;1213413;497314;396961563;189969103;206992460;1978,06,16;664766;8941717;700;735;2018,04,8;268
tt6911608;mamma mia here we go again;rl1828947457;universal pictures;comedy,musical,romance;114;395044706;120634935;274409771;395044706;120634935;274409771;2018,07,18;34952180;34952180;3317;3514;2018,07,20;165
tt3778644;solo a star wars story;rl1954383361;walt disney studios motion pictures;action,adventure,scifi;135;392924807;213767512;179157295;392924807;213767512;179157295;2018,05,23;84420489;84420489;4381;4381;2018,05,25;221
tt4633694;spiderman into the spiderverse;rl879986177;sony pictures releasing;action,adventure,animation,family,scifi;117;375540831;190241310;185299521;375540831;190241310;185299521;2018,12,12;35363376;35363376;3813;3813;2018,12,14;332
tt4477536;fifty shades freed;rl4014048769;universal pictures;drama,romance,thriller;105;371985018;100407760;271577258;371985018;100407760;271577258;2018,02,7;38560195;38560195;3768;3768;2018,02,9;326
tt5814060;the nun;rl1493206529;warner bros;horror,mystery,thriller;96;365550119;117450119;248100000;365550119;117450119;248100000;2018,09,5;53807379;53807379;3876;3876;2018,09,7;429
tt6170484;monster hunt 2;rl2231731713;lionsgate;adventure,comedy,scifi;110;361682618;706153;360976465;361682618;706153;360976465;2018,02,15;341834;341834;69;69;2018,02,16;319
tt5117670;peter rabbit;rl3380381185;sony pictures releasing;adventure,animation,comedy,family,fantasy;95;351266433;115253424;236013009;351266433;115253424;236013009;2018,02,8;25010928;25010928;3725;3725;2018,02,9;326
tt5028340;mary poppins returns;rl3263137281;walt disney studios motion pictures;comedy,family,fantasy,musical;130;349537494;171958438;177579056;349537494;171958438;177579056;2018,12,19;23523121;23523121;4090;4090;2018,12,19;327
tt0245429;spirited away;rl3305539073;fathom events;adventure,animation,family,fantasy,mystery;125;70186029;1175067;69010962;347742810;13750644;333992166;2001,07,27;494054;449839;720;742;2018,10,28;65
tt6644200;a quiet place;rl2399176193;paramount pictures;drama,horror,scifi;90;340939361;188024361;152915000;340939361;188024361;152915000;2018,04,4;50203562;50203562;3508;3808;2018,04,6;270
tt0108052;schindlers list;rl3070723585;universal pictures;biography,drama,history;195;937140;833050;104090;322243445;96898818;225344627;1993,12,15;566760;656636;1029;1029;2018,12,7;338
tt6966692;green book;rl805799425;universal pictures;biography,comedy,drama,music;130;321752656;85080171;236672485;321752656;85080171;236672485;2018,11,16;320429;320429;25;2648;;360
tt0338348;the polar express;rl2433123841;warner bros;adventure,animation,comedy,family,fantasy,musical;100;731018;731018;;313500433;187224490;126275943;2004,11,10;;23323463;;392;2018,11,2;373
tt5758778;skyscraper;rl2936047105;universal pictures;action,adventure,thriller;102;304868961;68420120;236448841;304868961;68420120;236448841;2018,07,11;24905015;24905015;3782;3822;2018,07,13;172
tt0078346;superman;rl1845921281;fathom events;action,adventure,drama,scifi;143;233585;233585;;300451603;134451603;166000000;1978,12,15;102223;7465343;394;394;2018,11,25;350
tt5164214;oceans eight;rl2206107137;warner bros;action,comedy,crime,thriller;110;297718711;140218711;157500000;297718711;140218711;157500000;2018,06,7;41607378;41607378;4145;4145;2018,06,8;207
tt2557478;pacific rim uprising;rl1382647297;universal pictures;action,adventure,scifi;111;290930148;59874525;231055623;290930148;59874525;231055623;2018,03,21;28116535;28116535;3708;3708;2018,03,23;284
tt4500922;maze runner the death cure;rl3663955457;twentieth century fox;action,scifi,thriller;143;288175335;58032443;230142892;288175335;58032443;230142892;2018,01,17;24167011;24167011;3787;3793;2018,01,26;340
tt1365519;tomb raider;rl1179420161;warner bros;action,adventure,fantasy,thriller;119;274650803;58250803;216400000;274650803;58250803;216400000;2018,03,7;23633317;23633317;3854;3854;2018,03,16;291
tt0113497;jumanjijumanji welcome to the jungle;rl3758523905;fathom events;;223;49381;49381;;262821940;100499940;162322000;1995,12,15;32264;11084370;335;352;2018,06,10;205
tt1502407;halloween;rl1342342657;universal pictures;horror,thriller;106;255485178;159342015;96143163;255485178;159342015;96143163;2018,10,17;76221545;76221545;3928;3990;2018,10,19;388
tt3104988;crazy rich asians;rl1157858817;warner bros;comedy,drama,romance;120;238532921;174532921;64000000;238532921;174532921;64000000;2018,08,15;26510140;26510140;3384;3865;2018,08,15;453
tt0108160;sleepless in seattle;rl1376159233;fathom events;comedy,drama,romance;105;127281;127281;;227927165;126808165;101119000;1993,06,25;73560;17253733;419;419;2018,12,2;343
tt0319343;elf;rl3506865665;warner bros;comedy,family,fantasy,romance;97;442073;442073;;220885524;173840591;47044933;2003,11,7;;32100000;;;2018,11,2;374
tt6343314;creed ii;rl1594197505;metrogoldwynmayer mgm;drama,sport;130;214115889;115715889;98400000;214115889;115715889;98400000;2018,11,21;35574710;35574710;3441;3752;2018,11,21;355
tt6182908;smallfoot;rl419661313;warner bros;adventure,animation,comedy,family,fantasy,musical;96;214040103;83240103;130800000;214040103;83240103;130800000;2018,09,20;23045635;23045635;4131;4131;2018,09,28;409
tt0876563;ponyo;rl2517009921;fathom events;adventure,animation,comedy,family,fantasy;101;653072;653072;;202404009;15743471;186660538;2008,07,19;281697;3585852;726;757;2018,03,25;282
tt8755316;the island;rl1913095681;well go usa entertainment;comedy,drama;134;198326350;670883;197655467;198326350;670883;197655467;2018,08,9;263412;263412;40;40;2018,08,10;144
tt4575576;christopher robin;rl2105312769;walt disney studios motion pictures;adventure,comedy,drama,family,fantasy;104;197744377;99215042;98529335;197744377;99215042;98529335;2018,08,1;24585139;24585139;3602;3602;2018,08,3;464
tt3766354;the equalizer 2;rl494765569;sony pictures releasing;action,crime,thriller;121;190400157;102084362;88315795;190400157;102084362;88315795;2018,07,18;36011640;36011640;3388;3388;2018,07,20;165
tt7959026;the mule;rl4077356545;warner bros;crime,drama,thriller;116;174504407;103804407;70700000;174504407;103804407;70700000;2018,12,14;17509431;17509431;2588;3329;2018,12,14;332
tt5523010;the nutcracker and the four realms;rl3657664001;walt disney studios motion pictures;adventure,family,fantasy;99;173961069;54858851;119102218;173961069;54858851;119102218;2018,10,31;20352491;20352491;3766;3766;2018,11,2;374
tt5726086;insidious the last key;rl394167809;universal pictures;horror,mystery,thriller;103;167885588;67745330;100140258;167885588;67745330;100140258;2018,01,3;29581355;29581355;3116;3150;2018,01,5;361
tt0119698;princess mononoke;rl1929872897;fathom events;adventure,animation,fantasy;134;1519321;1423877;95444;161066051;3799185;157266866;1999,10,29;476728;144446;731;754;2018,07,22;163
tt3829266;the predator;rl1082099201;twentieth century fox;action,adventure,scifi,thriller;107;160542134;51024708;109517426;160542134;51024708;109517426;2018,09,12;24632284;24632284;4037;4070;2018,09,14;422
tt0059742;the sound of music;rl2215020033;fathom events;biography,drama,family,musical,romance;172;624392;616171;8221;159413574;159287539;126035;1965,03,2;413497;;640;640;2018,09,9;114
tt6921996;johnny english strikes again;rl1845855745;universal pictures;action,adventure,comedy;89;158970776;4412170;154558606;158970776;4412170;154558606;2018,09,13;1638895;1638895;544;552;2018,10,26;380
tt0094737;big;rl1275495937;fathom events;comedy,drama,fantasy,romance;104;258507;258507;;151927281;115227281;36700000;1988,06,3;141578;8216190;689;722;2018,07,15;170
tt2873282;red sparrow;rl2138998273;twentieth century fox;action,drama,thriller;140;151572634;46874505;104698129;151572634;46874505;104698129;2018,02,28;16853422;16853422;3056;3064;2018,03,2;305
tt9081562;more than blue;rl4245259777;china lion film distribution;romance;105;142958164;722669;142235495;142958164;722669;142235495;2018,11,30;185928;185928;26;40;2019,03,15;241
tt0095016;die hard;rl235308545;fathom events;action,thriller;132;620525;510241;110284;141482154;83519093;57963061;1988,07,15;321704;601851;687;687;2018,11,11;364
tt6133466;the first purge;rl1526760961;universal pictures;action,horror,scifi,thriller;98;137056262;69488745;67567517;137056262;69488745;67567517;2018,07,4;17374280;17374280;3031;3038;2018,07,4;181
tt1620680;a wrinkle in time;rl3229582849;walt disney studios motion pictures;adventure,family,fantasy,scifi;109;132675864;100478608;32197256;132675864;100478608;32197256;2018,03,8;33123609;33123609;3980;3980;2018,03,9;298
tt2119543;the house with a clock in its walls;rl1157793281;universal pictures;comedy,fantasy,horror,scifi;105;131457147;68549695;62907452;131457147;68549695;62907452;2018,09,19;26608020;26608020;3592;3592;2018,09,21;416
tt7401588;instant family;rl235243009;paramount pictures;comedy,drama;118;120556201;67363237;53192964;120556201;67363237;53192964;2018,11,16;14504315;14504315;3286;3426;2018,11,16;360
tt9282616;a cool fish;rl84313601;china lion film distribution;comedy;109;118153135;551876;117601259;118153135;551876;117601259;2018,11,16;71187;71187;15;36;2018,11,16;360
tt2704998;game night;rl1744864769;warner bros;action,comedy,crime,mystery;100;117679066;69179066;48500000;117679066;69179066;48500000;2018,02,22;17005332;17005332;3488;3502;2018,02,23;312
tt6466464;the monkey king 3;rl1275430401;well go usa entertainment;action,adventure,fantasy;114;115084576;187074;114897502;115084576;187074;114897502;2018,02,15;95577;95577;34;34;2018,02,16;319
tt7961060;dragon ball super broly;rl2231862785;funimation entertainment;action,adventure,animation,family,fantasy,scifi;100;114102821;30712119;83390702;114102821;30712119;83390702;2018,12,15;9816197;9816197;1238;1267;2019,01,16;299
tt1213641;first man;rl1107330561;universal pictures;biography,drama,history;141;105697415;44936545;60760870;105697415;44936545;60760870;2018,10,10;16006065;16006065;3640;3640;2018,10,12;395
tt6857166;book club;rl3053815297;paramount pictures;comedy,drama,romance;104;104438188;68566296;35871892;104438188;68566296;35871892;2018,05,17;13582231;13582231;2781;3169;2018,05,18;228
tt6781982;night school;rl3909125633;universal pictures;comedy;111;103105878;77339130;25766748;103105878;77339130;25766748;2018,09,26;27257615;27257615;3010;3019;2018,09,28;409
tt4244998;alpha;rl3699344897;studio 8;adventure,drama,family;96;98203196;35857181;62346015;98203196;35857181;62346015;2018,08,15;10352512;10352512;2719;2881;2018,08,17;450
tt8116428;along with the gods the last 49 days;rl3288630785;well go usa entertainment;action,drama,fantasy;142;97962238;1200246;96761992;97962238;1200246;96761992;2018,08,1;311743;311743;48;48;2018,08,1;153
tt7040874;a simple favor;rl4261774849;lionsgate;comedy,crime,drama,mystery,thriller;117;97644617;53548586;44096031;97644617;53548586;44096031;2018,09,12;16011689;16011689;3102;3102;2018,09,14;422
tt5083738;the favourite;rl1325696513;fox searchlight pictures;biography,drama,history;119;95918706;34366783;61551923;95918706;34366783;61551923;2018,11,23;422410;422410;4;1554;;353
tt6772950;truth or dare;rl3355608577;universal pictures;horror,thriller;100;95330493;41411015;53919478;95330493;41411015;53919478;2018,04,12;18667855;18667855;3029;3068;2018,04,13;263
tt6791096;i feel pretty;rl3959653889;stx entertainment;comedy,romance;110;94539426;48795601;45743825;94539426;48795601;45743825;2018,04,19;16030218;16030218;3440;3440;2018,04,20;256
tt2531344;blockers;rl1048479233;universal pictures;comedy;102;94017294;60311495;33705799;94017294;60311495;33705799;2018,03,29;20556350;20556350;3379;3418;2018,04,6;270
tt7349662;blackkklansman;rl1862567425;focus features;biography,crime,drama;135;93400823;49275340;44125483;93400823;49275340;44125483;2018,08,9;10845330;10845330;1512;1914;2018,08,10;458
tt5664636;goosebumps 2 haunted halloween;rl654345729;sony pictures releasing;adventure,comedy,family,fantasy,horror;90;93320380;46700633;46619747;93320380;46700633;46619747;2018,10,10;15802225;15802225;3521;3723;2018,10,12;394
tt6864046;shadow;rl2433320449;well go usa entertainment;action,drama,war;116;91708374;521396;91186978;91708374;521396;91186978;2018,09,30;27474;27474;4;53;2019,05,3;192
tt1563742;overboard;rl3707995649;pantelion;comedy,romance;112;91244913;50316123;40928790;91244913;50316123;40928790;2018,05,3;14711101;14711101;1623;2006;2018,05,4;242
tt0087538;cobra kai premiere event feat the karate kid;rl1124500993;fathom events;;212;185082;185082;;91077276;91077276;;1984,06,22;;5031753;;678;2018,04,25;251
tt2296777;sherlock gnomes;rl2809955841;paramount pictures;adventure,animation,comedy,family,fantasy,mystery,romance;86;90345871;43242871;47103000;90345871;43242871;47103000;2018,03,15;10604774;10604774;3662;3662;2018,03,23;284
tt6869538;detective dee the four heavenly kings;rl3271853569;well go usa entertainment;action,adventure,drama,fantasy;132;90040771;262963;89777808;90040771;262963;89777808;2018,07,26;126929;126929;31;31;2018,07,27;158
tt6450186;i can only imagine;rl537036289;roadside attractions;biography,drama,family,music;110;85946295;83482352;2463943;85946295;83482352;2463943;2018,03,15;17108914;17108914;1629;2894;2018,03,16;291
tt4532826;robin hood;rl2147583489;lionsgate;action,adventure,thriller;116;85747478;30824628;54922850;85747478;30824628;54922850;2018,11,20;9195670;9195670;2827;2827;2018,11,21;355
tt1571234;mortal engines;rl4278289921;universal pictures;action,adventure,fantasy,scifi,thriller;128;83672673;15951040;67721633;83672673;15951040;67721633;2018,12,5;7559850;7559850;3103;3103;2018,12,14;332
tt8404272;how long will i love u;rl3187967489;well go usa entertainment;comedy,fantasy,romance;101;82881319;746933;82134386;82881319;746933;82134386;2018,05,17;204733;204733;23;32;2018,05,25;221
tt1259528;den of thieves;rl3154150913;stx entertainment;action,crime,drama,mystery,thriller;140;80509622;44947622;35562000;80509622;44947622;35562000;2018,01,18;15206108;15206108;2432;2432;2018,01,19;347
tt7784604;hereditary;rl3892479489;a24;drama,horror,mystery,thriller;127;79336821;44069456;35267365;79336821;44069456;35267365;2018,06,7;13575172;13575172;2964;2998;2018,06,8;207
tt2854926;tag;rl654542337;warner bros;comedy;100;78130625;54730625;23400000;78130625;54730625;23400000;2018,06,14;14947396;14947396;3382;3382;2018,06,15;200
tt6266538;vice;rl1409779201;annapurna pictures;biography,comedy,drama;132;76073488;47836282;28237206;76073488;47836282;28237206;2018,12,25;7768371;7768371;2442;2534;2018,12,25;321
tt4218572;widows;rl3355477505;twentieth century fox;crime,drama,thriller;129;75984700;42402632;33582068;75984700;42402632;33582068;2018,11,9;12361307;12361307;2803;2803;2018,11,16;360
tt5052474;sicario day of the soldado;rl771917313;sony pictures releasing;action,crime,drama,thriller;122;75836683;50072235;25764448;75836683;50072235;25764448;2018,06,27;19007566;19007566;3055;3055;2018,06,29;186
tt7668870;searching;rl369395201;screen gems;drama,mystery,thriller;102;75462037;26020957;49441080;75462037;26020957;49441080;2018,08,23;388769;388769;9;2009;;443
tt6663582;the spy who dumped me;rl872646145;lionsgate;action,adventure,comedy;117;75320680;33562069;41758611;75320680;33562069;41758611;2018,08,1;12103043;12103043;3111;3111;2018,08,3;151
tt0094721;beetlejuice;rl2332460545;warner bros;comedy,fantasy;92;562613;512947;49666;74270074;74220408;49666;1988,03,30;;8030897;;;2018,09,28;409
tt2126357;second act;rl4194665985;stx entertainment;comedy,drama,romance;103;72282227;39282227;33000000;72282227;39282227;33000000;2018,12,6;6489983;6489983;2607;2607;2018,12,21;325
tt6452574;sanju;rl3137635841;fip;biography,drama;155;71535130;7909317;63625813;71535130;7909317;63625813;2018,06,28;2723349;2723349;356;359;2018,06,29;186
tt8075192;shoplifters;rl738690561;magnolia pictures;crime,drama;121;67998738;3313513;64685225;67998738;3313513;64685225;2018,06,8;89264;89264;5;144;2018,11,23;353
tt1413492;12 strong;rl2701166081;warner bros;action,drama,history,war;130;67450815;45819713;21631102;67450815;45819713;21631102;2018,01,17;15815025;15815025;3002;3018;2018,01,19;347
tt5164432;love simon;rl2768274945;twentieth century fox;comedy,drama,romance;110;66316289;40826341;25489948;66316289;40826341;25489948;2018,03,16;11756244;11756244;2402;2434;2018,03,16;291
tt4560436;mile 22;rl1761969665;stx entertainment;action,thriller;94;66308758;36108758;30200000;66308758;36108758;30200000;2018,08,16;13710825;13710825;3520;3520;2018,08,17;137
tt5619332;life of the party;rl2256438785;warner bros;comedy;105;65859911;53059911;12800000;65859911;53059911;12800000;2018,05,10;17886075;17886075;3656;3656;2018,05,11;235
tt8267604;capernaum;rl4228154881;sony pictures classics;drama;126;64398132;1661096;62737036;64398132;1661096;62737036;2018,10,17;24988;24988;3;136;2018,12,14;332
tt5104604;isle of dogs;rl3288368641;fox searchlight pictures;adventure,animation,comedy,drama,fantasy,scifi;101;64241499;32015231;32226268;64241499;32015231;32226268;2018,03,23;1620294;1620294;27;1947;;284
tt6306064;adrift;rl1157989889;stx entertainment;action,adventure,biography,drama,romance,thriller;96;59945012;31445012;28500000;59945012;31445012;28500000;2018,05,31;11603039;11603039;3015;3015;2018,06,1;214
tt6802308;the 1517 to paris;rl604210689;warner bros;biography,drama,thriller;94;57076286;36276286;20800000;57076286;36276286;20800000;2018,02,7;12554286;12554286;3042;3042;2018,02,9;326
