rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
1;2015;star wars episode vii  the force awakens;tt2488496;walt disney studios motion pictures;16;12;2015;2068223624;936662225;1131561399;247966675;245000000;action,adventure,scifi
2;2019;avengers endgame;tt4154796;walt disney studios motion pictures;24;4;2019;2797800564;858373000;1939427564;357115007;356000000;action,adventure,drama,scifi
3;2009;avatar;tt0499549;twentieth century fox;16;12;2009;2789958507;760507625;2029450882;77025481;237000000;action,adventure,fantasy,scifi
5;2018;avengers infinity war;tt4154756;walt disney studios motion pictures;25;4;2018;2048359754;678815482;1369544272;257698183;;action,adventure,scifi
4;2018;black panther;tt1825683;walt disney studios motion pictures;13;2;2018;1346913161;700059566;646853595;202003951;;action,adventure,scifi
6;1997;titanic;tt0120338;paramount pictures;18;12;1997;2187463944;659363944;1528100000;28638131;200000000;drama,romance
7;2015;jurassic world;tt0369610;universal pictures;10;6;2015;1670400637;652270625;1018130012;208806270;150000000;action,adventure,scifi
8;2012;the avengers;tt0848228;walt disney studios motion pictures;25;4;2012;1518812988;623357910;895455078;207438708;220000000;action,adventure,scifi
9;2017;star wars episode viii  the last jedi;tt2527336;walt disney studios motion pictures;13;12;2017;1332539889;620181382;712358507;220009584;317000000;action,adventure,fantasy,scifi
29;2018;jurassic world fallen kingdom;tt4881806;universal pictures;6;6;2018;1308467944;417719760;890748184;148024610;170000000;action,adventure,scifi
11;2019;the lion king;tt6105098;walt disney studios motion pictures;12;7;2019;1656943394;543638043;1113305351;191770759;260000000;adventure,animation,drama,family,musical
12;2008;the dark knight;tt0468569;warner bros;16;7;2008;1004934033;535234033;469700000;158411483;185000000;action,crime,drama,thriller
13;2016;rogue one;tt3748528;walt disney studios motion pictures;14;12;2016;1056057273;532177324;523879949;155081681;200000000;action,adventure,scifi
14;2017;beauty and the beast;tt2771200;walt disney studios motion pictures;16;3;2017;1263521126;504014165;759506961;174750616;160000000;family,fantasy,musical,romance
15;2016;finding dory;tt2277860;walt disney studios motion pictures;15;6;2016;1028570889;486295561;542275328;135060273;;adventure,animation,comedy,family
16;1999;star wars episode i  the phantom menace;tt0120915;twentieth century fox;19;5;1999;1027082707;474544677;552538030;64820970;115000000;action,adventure,fantasy,scifi
17;1977;star wars;tt0076759;twentieth century fox;25;5;1977;775512064;460998507;314513557;1554475;11000000;action,adventure,fantasy,scifi
18;2015;avengers age of ultron;tt2395427;walt disney studios motion pictures;22;4;2015;1402805868;459005868;943800000;191271109;250000000;action,adventure,scifi
19;2019;star wars episode ix  the rise of skywalker;tt2527338;walt disney studios motion pictures;18;12;2019;936302411;458541607;477760804;177383864;;action,adventure,fantasy,scifi
20;2019;frozen ii;tt4520988;walt disney studios motion pictures;20;11;2019;1328396330;452483413;875912917;130263358;;adventure,animation,comedy,family,fantasy,musical
21;2012;the dark knight rises;tt1345836;warner bros;19;7;2012;1081041287;448139099;632902188;160887295;250000000;action,thriller
22;2004;shrek 2;tt0298148;dreamworks distribution;19;5;2004;923075336;441226247;481849089;108037878;150000000;adventure,animation,comedy,family,fantasy,romance
23;1982;et the extraterrestrial;tt0083866;universal pictures;11;6;1982;792910554;435110554;357800000;11835389;10500000;family,scifi
24;2019;toy story 4;tt1979376;walt disney studios motion pictures;20;6;2019;1073394593;434038008;639356585;120908065;;adventure,animation,comedy,family,fantasy
25;2019;captain marvel;tt4154664;walt disney studios motion pictures;6;3;2019;1128274794;426829839;701444955;153433423;;action,adventure,scifi
26;2013;the hunger games catching fire;tt1951264;lionsgate;15;11;2013;865011746;424668047;440343699;158074286;130000000;action,adventure,scifi,thriller
27;2006;pirates of the caribbean dead mans chest;tt0383574;walt disney studios motion pictures;6;7;2006;1066179725;423315812;642863913;135634554;225000000;action,adventure,fantasy
